

Date format: D M d Y @ g:i:s a,Type,Test Size,Score Mbps,Score MB/s,Username,Computer ID,ISP / Host,Extra Identifier,Test ID
Tue Nov 17 2020 @ 12:20:04 am,UP,46.8 MB,64.7,8.09,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,US7ClLohC
Tue Nov 17 2020 @ 12:15:01 am,UP,21.9 MB,42.73,5.34,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,~m7nw7g8D
Tue Nov 17 2020 @ 12:10:00 am,UP,22.1 MB,47.18,5.9,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,WLsGeZ2K0
Tue Nov 17 2020 @ 12:05:01 am,UP,35.1 MB,54.14,6.77,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,nyvbYy5Lh
Tue Nov 17 2020 @ 12:00:06 am,UP,43.6 MB,55.17,6.9,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,2Z9T5UnEr
Mon Nov 16 2020 @ 11:55:01 pm,UP,47.6 MB,61.29,7.66,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,-0JlbIMhe
Mon Nov 16 2020 @ 11:50:08 pm,UP,66.9 MB,57.34,7.17,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,1hs7TcouB
Mon Nov 16 2020 @ 11:45:02 pm,UP,49.8 MB,52.71,6.59,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,zIJl2g6ps
Mon Nov 16 2020 @ 11:40:01 pm,UP,43.9 MB,48.3,6.04,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,9mklTXwbn
Mon Nov 16 2020 @ 11:34:59 pm,UP,24.9 MB,39.42,4.93,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,M0pKFaTTD
Mon Nov 16 2020 @ 11:30:00 pm,UP,49 MB,55.55,6.94,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,d2A69GUKN
Mon Nov 16 2020 @ 11:25:02 pm,UP,38.6 MB,32.49,4.06,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,XeV3UiJbf
Mon Nov 16 2020 @ 11:19:58 pm,UP,37.9 MB,49.9,6.24,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,glWKaH7E3
Mon Nov 16 2020 @ 11:14:56 pm,UP,33.4 MB,52.07,6.51,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,YIRUjSpgC
Mon Nov 16 2020 @ 11:09:57 pm,UP,35.6 MB,48.87,6.11,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,PIVGn~pyX
Mon Nov 16 2020 @ 11:04:56 pm,UP,43.1 MB,52.34,6.54,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,VIR~cy8Li
Mon Nov 16 2020 @ 10:59:54 pm,UP,23.4 MB,43.66,5.46,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,73z3UlZi6
Mon Nov 16 2020 @ 10:54:54 pm,UP,32.5 MB,50.87,6.36,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,z4tO2gEhM
Mon Nov 16 2020 @ 10:49:53 pm,UP,33.8 MB,57.5,7.19,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,vZOt6FEgB
Mon Nov 16 2020 @ 10:44:54 pm,UP,36.3 MB,53.08,6.63,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,imAyh0PdG
Mon Nov 16 2020 @ 10:39:53 pm,UP,37.8 MB,57.26,7.16,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,qRKFWu2KX
Mon Nov 16 2020 @ 10:34:52 pm,UP,23 MB,45.62,5.7,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,3_-iHJaoq
Mon Nov 16 2020 @ 10:29:53 pm,UP,43 MB,52.08,6.51,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,EdtIfkqR9
Mon Nov 16 2020 @ 10:24:50 pm,UP,31.3 MB,54.36,6.8,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,gpgX~vVqn
Mon Nov 16 2020 @ 10:20:00 pm,UP,72.8 MB,61.94,7.74,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,fPPlwS-SS
Mon Nov 16 2020 @ 10:14:50 pm,UP,36.4 MB,49.81,6.23,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,3vW65JRJb
Mon Nov 16 2020 @ 10:09:55 pm,UP,20.9 MB,15.62,1.95,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,iGxL0NAY0
Mon Nov 16 2020 @ 10:04:50 pm,UP,35.5 MB,48.49,6.06,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,VoscNxUCA
Mon Nov 16 2020 @ 9:59:53 pm,UP,33.6 MB,29.17,3.65,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,PuJCnA1rI
Mon Nov 16 2020 @ 9:54:48 pm,UP,32.8 MB,52.16,6.52,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,7fAJ-F3NL
Mon Nov 16 2020 @ 9:49:49 pm,UP,31.8 MB,34.22,4.28,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,Cck14QvtG
Mon Nov 16 2020 @ 9:44:47 pm,UP,38.6 MB,56.45,7.06,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,CgtgkYfoR
Mon Nov 16 2020 @ 9:39:50 pm,UP,35 MB,30.52,3.81,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,44g8V0nDT
Mon Nov 16 2020 @ 9:34:47 pm,UP,52 MB,60.58,7.57,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,~GQzn4NhH
Mon Nov 16 2020 @ 9:29:46 pm,UP,37.8 MB,50.57,6.32,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,45n1ivgCK
Mon Nov 16 2020 @ 9:24:53 pm,UP,61.3 MB,53.4,6.68,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,tph_7scia
Mon Nov 16 2020 @ 9:19:43 pm,UP,13.9 MB,29.56,3.69,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,JQlm0laCl
Mon Nov 16 2020 @ 9:14:52 pm,UP,43.4 MB,41.82,5.23,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,sbQgQkocq
Mon Nov 16 2020 @ 9:09:45 pm,UP,24.1 MB,29.57,3.7,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,hN9WkV4t~
Mon Nov 16 2020 @ 9:04:51 pm,UP,22.5 MB,14.85,1.86,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,86J8aEWS~
Mon Nov 16 2020 @ 8:59:41 pm,UP,15.4 MB,32.22,4.03,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,oVffXsx-D
Mon Nov 16 2020 @ 8:54:41 pm,UP,14.2 MB,31.54,3.94,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,xOHknrofr
Mon Nov 16 2020 @ 8:49:42 pm,UP,13.3 MB,19.36,2.42,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,TXq5B1RYn
Mon Nov 16 2020 @ 8:44:39 pm,UP,13.7 MB,28.58,3.57,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,Y_HgRRcNa
Mon Nov 16 2020 @ 8:39:42 pm,UP,25.3 MB,30.59,3.82,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,joR58jMD8
Mon Nov 16 2020 @ 8:34:38 pm,UP,15.1 MB,33.61,4.2,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,kcHGMGJVU
Mon Nov 16 2020 @ 8:29:47 pm,UP,40.8 MB,36.27,4.53,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,rQW~gP4b8
Mon Nov 16 2020 @ 8:24:39 pm,UP,21.9 MB,33.48,4.19,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,cI1kt02Zr
Mon Nov 16 2020 @ 8:19:37 pm,UP,31.8 MB,57.01,7.13,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,LvnAMyQ2L
Mon Nov 16 2020 @ 8:14:37 pm,UP,23.4 MB,45.61,5.7,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,i4BMkVOJU
Mon Nov 16 2020 @ 8:09:41 pm,UP,20.6 MB,19.97,2.5,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,jg1hsntRw
Mon Nov 16 2020 @ 8:04:40 pm,UP,24.9 MB,22.42,2.8,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,LCe69FSkE
Mon Nov 16 2020 @ 7:59:39 pm,UP,48.9 MB,48.94,6.12,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,LID6AOpvA
Mon Nov 16 2020 @ 7:54:37 pm,UP,37.5 MB,41.19,5.15,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,QeLKYXoEE
Mon Nov 16 2020 @ 7:49:33 pm,UP,22.5 MB,46.06,5.76,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,eCtk5d2ys
Mon Nov 16 2020 @ 7:44:35 pm,UP,24.4 MB,30.12,3.77,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,LC4d2CbyN
Mon Nov 16 2020 @ 7:39:33 pm,UP,35.9 MB,54.7,6.84,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,Mg_sYgZYv
Mon Nov 16 2020 @ 7:34:39 pm,UP,37.9 MB,26.89,3.36,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,fFd7Scmpu
Mon Nov 16 2020 @ 7:29:31 pm,UP,21.4 MB,42.65,5.33,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,Jo9DkPlAW
Mon Nov 16 2020 @ 7:24:36 pm,UP,24.5 MB,22.67,2.83,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,tQVgcbtCJ
Mon Nov 16 2020 @ 7:19:32 pm,UP,24 MB,35.52,4.44,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,byXkHR0kJ
Mon Nov 16 2020 @ 7:14:32 pm,UP,22.8 MB,29.14,3.64,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,CfQ-Dbt41
Mon Nov 16 2020 @ 7:09:31 pm,UP,24.1 MB,34.31,4.29,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,S8VFVhS1r
Mon Nov 16 2020 @ 7:04:32 pm,UP,52.3 MB,57,7.12,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,-zd3ctOZH
Mon Nov 16 2020 @ 6:59:28 pm,UP,23.3 MB,43.9,5.49,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,GqDQHzD~Z
Mon Nov 16 2020 @ 6:54:31 pm,UP,34.1 MB,36.39,4.55,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,o7K~sweKP
Mon Nov 16 2020 @ 6:49:38 pm,UP,42.3 MB,29.09,3.64,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,EvOg~nf64
Mon Nov 16 2020 @ 6:44:29 pm,UP,31.9 MB,41.84,5.23,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,W~m9Gyc4t
Mon Nov 16 2020 @ 6:39:26 pm,UP,22.9 MB,46.99,5.87,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,_J3paNi1M
Mon Nov 16 2020 @ 6:34:26 pm,UP,24.8 MB,42.73,5.34,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,9HkpsO7Xc
Mon Nov 16 2020 @ 6:29:26 pm,UP,21.3 MB,32.94,4.12,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,xaaeYRFqG
Mon Nov 16 2020 @ 6:24:28 pm,UP,14.8 MB,17.37,2.17,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,BsMgSk7~S
Mon Nov 16 2020 @ 6:19:28 pm,UP,23 MB,22.27,2.78,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,L2WhqFGbL
Mon Nov 16 2020 @ 6:14:25 pm,UP,24.1 MB,34.01,4.25,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,2TQj60Z_7
Mon Nov 16 2020 @ 6:09:23 pm,UP,22 MB,38.24,4.78,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,fUCkmrE7n
Mon Nov 16 2020 @ 6:04:23 pm,UP,23 MB,43.54,5.44,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,0W~94RvOV
Sun Nov 15 2020 @ 6:34:47 pm,UP,1.1 MB,1.09,0.14,Mohanad Odema,68224716532615,t_mobile_usa,60--14--orange-ca-us,~NdQ7AV_4
Sun Nov 15 2020 @ 6:27:37 pm,UP,1 MB,0.85,0.11,Mohanad Odema,68224716532615,t_mobile_usa,60--14--orange-ca-us,aC3C4ebpE
Sun Nov 15 2020 @ 4:13:08 pm,UP,1 MB,0.98,0.12,Mohanad Odema,68224716532615,t_mobile_usa,60--14--orange-ca-us,tX5XeioF_
Sun Nov 15 2020 @ 4:07:56 pm,UP,480 kB,0.85,0.11,Mohanad Odema,64738110724876,t_mobile_usa,60--14--fontana-ca-u,E2gjYhhDx
Sun Nov 15 2020 @ 3:50:00 pm,UP,248 kB,0.22,0.03,Mohanad Odema,64738110724876,t_mobile_usa,60--14--fontana-ca-u,-pJPvHcti
Sun Nov 15 2020 @ 3:33:41 pm,UP,1.1 MB,1.08,0.14,Mohanad Odema,64738110724876,t_mobile_usa,60--14--fontana-ca-u,EIpsUz-M4
Sun Nov 15 2020 @ 3:15:08 pm,UP,480 kB,0.95,0.12,Mohanad Odema,64738110724876,t_mobile_usa,60--14--fontana-ca-u,AKIoTprL-
Sun Nov 15 2020 @ 2:56:22 pm,UP,1.1 MB,0.34,0.04,Mohanad Odema,64738110724876,t_mobile_usa,60--14--fontana-ca-u,iBmAZV9V_
Sun Nov 15 2020 @ 1:53:25 pm,UP,1.1 MB,1.09,0.14,Mohanad Odema,64738110724876,t_mobile_usa,60--14--fontana-ca-u,ohfErgg1v
Sun Nov 15 2020 @ 1:48:23 pm,UP,1.1 MB,1.06,0.13,Mohanad Odema,64738110724876,t_mobile_usa,60--14--fontana-ca-u,3jtH8RbS5
Sun Nov 15 2020 @ 1:28:54 pm,UP,1.1 MB,1.08,0.13,Mohanad Odema,57246412002763,t_mobile_usa,60--14--garden_grove,If_cHLId0
Sun Nov 15 2020 @ 1:02:00 pm,UP,480 kB,0.46,0.06,Mohanad Odema,57246412002763,t_mobile_usa,60--14--garden_grove,MpswqJtWM
Sun Nov 15 2020 @ 12:37:16 pm,UP,1.1 MB,1.09,0.14,Mohanad Odema,57246412002763,t_mobile_usa,60--14--garden_grove,4tJptOHYc
Sun Nov 15 2020 @ 12:19:20 pm,UP,480 kB,0.96,0.12,Mohanad Odema,57246412002763,t_mobile_usa,60--14--garden_grove,gFUuujULF
Sun Nov 15 2020 @ 12:11:09 pm,UP,240 kB,0.23,0.03,Mohanad Odema,57246412002763,t_mobile_usa,60--14--garden_grove,gx862FJ1d
Sun Nov 15 2020 @ 12:05:46 pm,UP,1.1 MB,0.98,0.12,Mohanad Odema,57246412002763,t_mobile_usa,60--14--garden_grove,Q7ip1d3d7
Sun Nov 15 2020 @ 12:00:33 pm,UP,480 kB,0.75,0.09,Mohanad Odema,57246412002763,t_mobile_usa,60--14--garden_grove,XSRQzHNab
Sun Nov 15 2020 @ 11:36:24 am,UP,1.1 MB,1.08,0.13,Mohanad Odema,57246412002763,t_mobile_usa,60--14--garden_grove,tRY0L0YRP
Sun Nov 15 2020 @ 11:26:28 am,UP,96 MB,0.12,0.02,Mohanad Odema,57246412002763,t_mobile_usa,60--14--garden_grove,c4rHDlgV3
Sun Nov 15 2020 @ 11:21:33 am,UP,1.2 MB,1,0.13,Mohanad Odema,57246412002763,t_mobile_usa,60--14--garden_grove,TIIEM1QZ8
Sun Nov 15 2020 @ 11:00:35 am,UP,1.1 MB,1.06,0.13,Mohanad Odema,57246412002763,t_mobile_usa,60--14--garden_grove,2Y2SeouNG
Sun Nov 15 2020 @ 10:42:54 am,UP,1.1 MB,1.08,0.13,Mohanad Odema,57246412002763,t_mobile_usa,60--14--garden_grove,D7XG45gBw
Sun Nov 15 2020 @ 10:36:08 am,UP,1.1 MB,1.07,0.13,Mohanad Odema,57246412002763,t_mobile_usa,60--14--garden_grove,v3gfdftFh
Sun Nov 15 2020 @ 10:26:10 am,UP,1.1 MB,1.05,0.13,Mohanad Odema,57246412002763,t_mobile_usa,60--14--garden_grove,G80LeoUEb
Sun Nov 15 2020 @ 10:20:03 am,UP,1.1 MB,1.02,0.13,Mohanad Odema,57246412002763,t_mobile_usa,60--14--garden_grove,pkPKcyjSD
Sun Nov 15 2020 @ 10:15:01 am,UP,1 MB,0.94,0.12,Mohanad Odema,57246412002763,t_mobile_usa,60--14--garden_grove,FNIig1kOo
Sun Nov 15 2020 @ 6:36:23 am,UP,480 kB,0.96,0.12,Mohanad Odema,48937572810574,t_mobile_usa,60--14--corona-ca-us,eT5774xlN
Sun Nov 15 2020 @ 6:31:28 am,UP,1.1 MB,1.08,0.13,Mohanad Odema,29887400102393,t_mobile_usa,60--14--corona-ca-us,GdBoBXUsn
Sat Nov 14 2020 @ 10:39:38 pm,UP,1.1 MB,1.08,0.13,Mohanad Odema,68975143866724,t_mobile_usa,60--14--phoenix-az-u,ACyhd3ifa
Sat Nov 14 2020 @ 10:30:29 pm,UP,1.1 MB,1.12,0.14,Mohanad Odema,68975143866724,t_mobile_usa,60--14--phoenix-az-u,oTrLSRr0R
Sat Nov 14 2020 @ 10:08:40 pm,UP,1.1 MB,1.07,0.13,Mohanad Odema,68975143866724,t_mobile_usa,60--14--phoenix-az-u,SXxjZJVZk
Sat Nov 14 2020 @ 9:55:30 pm,UP,1.1 MB,1.12,0.14,Mohanad Odema,68975143866724,t_mobile_usa,60--14--phoenix-az-u,-UenCw7o8
Sat Nov 14 2020 @ 9:50:28 pm,UP,1 MB,1.08,0.14,Mohanad Odema,68975143866724,t_mobile_usa,60--14--phoenix-az-u,L1XBXv4MR
Sat Nov 14 2020 @ 2:58:55 pm,UP,1.1 MB,1.04,0.13,Mohanad Odema,83701992829097,t_mobile_usa,60--14--los_angeles-,MpgQee4Ir
Sat Nov 14 2020 @ 2:35:51 pm,UP,1.1 MB,1.08,0.14,Mohanad Odema,83701992829097,t_mobile_usa,60--14--los_angeles-,_wRuPJ3Sn
Sat Nov 14 2020 @ 10:44:44 am,UP,1 MB,1.09,0.14,Mohanad Odema,65959498663973,t_mobile_usa,60--14--san_bernardi,kZQKj-6wj
Sat Nov 14 2020 @ 10:26:38 am,UP,1.1 MB,1.09,0.14,Mohanad Odema,50361404881627,t_mobile_usa,60--14--san_jacinto-,PK25BmH18
Sat Nov 14 2020 @ 9:27:09 am,UP,1.1 MB,0.76,0.09,Mohanad Odema,90054888193297,t_mobile_usa,60--14--corona-ca-us,YQDYkvAqp
Sat Nov 14 2020 @ 9:09:12 am,UP,1.1 MB,1.1,0.14,Mohanad Odema,90054888193297,t_mobile_usa,60--14--corona-ca-us,pKiO1-zkt
Sat Nov 14 2020 @ 8:50:12 am,UP,1.1 MB,1.08,0.13,Mohanad Odema,90054888193297,t_mobile_usa,60--14--corona-ca-us,ca6J25La7
Sat Nov 14 2020 @ 8:06:46 am,UP,1.1 MB,1.1,0.14,Mohanad Odema,46270807513879,t_mobile_usa,60--14--ontario-ca-u,e4xjuo-wo
Sat Nov 14 2020 @ 7:58:34 am,UP,1 MB,1.07,0.13,Mohanad Odema,46270807513879,t_mobile_usa,60--14--ontario-ca-u,0QyM6vrg7
Sat Nov 14 2020 @ 7:41:48 am,UP,1.1 MB,1.07,0.13,Mohanad Odema,46270807513879,t_mobile_usa,60--14--ontario-ca-u,tFCzn5eFN
Wed Nov 11 2020 @ 9:48:57 am,UP,1.1 MB,1.03,0.13,Mohanad Odema,69481371817586,t_mobile_usa,60--14--santa_ana-ca,8dBtdv0IO
Wed Nov 11 2020 @ 9:48:12 am,UP,480 kB,0.81,0.1,Mohanad Odema,69481371817586,t_mobile_usa,60--14--santa_ana-ca,~k7Dy1~Z8
Wed Nov 11 2020 @ 9:43:54 am,UP,68 MB,58.04,7.26,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,xdx2JdNaL
